shift_id,shift,units_per_hour,defect_rate,meets_sla
1,D,142.84,0.34,0
2,D,227.17,0.21,0
3,A,190.06,0.448,0
4,C,436.93,0.017,1
5,A,432.08,0.263,1
6,B,223.76,0.057,0
7,B,99.68,0.07,0
8,A,310.01,0.394,1
9,C,357.73,0.311,1
10,D,194.42,0.006,0
11,D,126.59,0.083,0
12,C,474.19,0.353,1
13,B,276.64,0.321,1
14,D,151.88,0.275,0
15,D,164.81,0.342,0
16,D,366.74,0.388,1
17,A,325.01,0.351,1
18,C,379.98,0.221,1
19,C,143.41,0.175,0
20,A,185.04,0.079,0
21,C,137.14,0.337,0
22,D,222.09,0.443,0
23,C,337.2,0.097,1
24,B,323.84,0.499,1
25,B,152.02,0.392,0
26,C,296.27,0.251,1
27,A,413.0,0.134,1
28,C,402.65,0.438,1
29,C,117.0,0.146,0
30,C,23.22,0.267,0
31,D,79.34,0.211,0
32,C,300.63,0.165,1
33,C,31.82,0.259,0
34,D,41.88,0.004,0
35,A,420.32,0.326,1
36,C,197.47,0.351,0
37,A,230.2,0.2,0
38,D,29.14,0.194,0
39,A,98.74,0.191,0
40,B,34.64,0.191,0
41,A,413.53,0.289,1
42,D,121.61,0.438,0
43,B,419.83,0.058,1
44,D,266.7,0.118,0
45,D,409.4,0.288,1
46,B,131.89,0.243,0
47,B,190.74,0.112,0
48,B,301.61,0.454,1
49,D,144.03,0.237,0
50,D,141.78,0.479,0
51,B,458.15,0.427,1
52,D,25.29,0.389,0
53,D,248.29,0.158,0
54,C,372.7,0.07,1
55,C,170.53,0.456,0
56,B,461.6,0.157,1
57,D,223.78,0.355,0
58,B,428.69,0.05,1
59,C,463.21,0.114,1
60,A,353.73,0.229,1
61,C,481.25,0.48,1
62,C,257.21,0.158,0
63,A,408.45,0.115,1
64,A,180.05,0.107,0
65,D,125.5,0.474,0
66,B,112.7,0.157,0
67,D,178.28,0.096,0
68,C,208.36,0.273,0
69,A,471.5,0.047,1
70,A,255.8,0.077,0
71,A,429.08,0.231,1
72,D,387.54,0.217,1
73,B,119.96,0.112,0
74,A,253.68,0.138,0
75,A,344.1,0.077,1
76,C,106.91,0.099,0
77,D,250.3,0.365,0
78,C,93.89,0.269,0
79,C,410.47,0.165,1
80,A,237.63,0.375,0
81,D,135.01,0.046,0
82,D,27.88,0.43,0
83,B,298.15,0.487,1
84,B,457.4,0.28,1
85,D,407.5,0.143,1
86,C,428.1,0.153,1
87,C,250.92,0.044,0
88,D,138.45,0.04,0
89,B,407.24,0.344,1
90,C,454.0,0.022,1
91,C,86.62,0.436,0
92,B,382.34,0.351,1
93,B,437.44,0.023,1
94,A,273.63,0.447,1
95,A,287.91,0.019,1
96,D,202.9,0.425,0
97,D,483.2,0.354,1
98,C,316.0,0.372,1
99,A,308.6,0.216,1
100,C,281.37,0.055,1
101,B,242.07,0.007,0
102,C,16.87,0.369,0
103,C,99.36,0.232,0
104,A,172.63,0.28,0
105,C,214.6,0.161,0
106,C,316.46,0.375,1
107,D,302.42,0.405,1
108,C,431.75,0.021,1
109,C,84.41,0.185,0
110,C,255.1,0.485,0
111,B,290.39,0.255,1
112,A,358.41,0.478,1
113,B,123.19,0.376,0
114,C,261.65,0.07,0
115,A,86.51,0.407,0
116,A,303.96,0.171,1
117,D,317.03,0.473,1
118,B,467.02,0.079,1
119,C,328.93,0.391,1
120,A,70.74,0.166,0
121,A,260.48,0.48,0
122,C,349.93,0.063,1
123,A,350.64,0.308,1
124,C,476.09,0.448,1
125,D,231.1,0.355,0
126,B,260.29,0.018,0
127,D,372.26,0.086,1
128,A,114.09,0.181,0
129,A,270.66,0.162,0
130,B,275.91,0.222,1
131,B,481.82,0.035,1
132,A,187.55,0.276,0
133,B,54.2,0.236,0
134,B,107.66,0.038,0
135,C,369.38,0.197,1
136,B,97.87,0.477,0
137,C,142.41,0.286,0
138,C,498.9,0.324,1
139,A,255.59,0.299,0
140,D,129.79,0.472,0
141,A,176.02,0.19,0
142,B,34.61,0.213,0
143,A,424.51,0.073,1
144,C,115.86,0.418,0
145,D,82.22,0.269,0
146,C,344.14,0.132,1
147,C,292.42,0.364,1
148,C,105.67,0.232,0
149,B,217.81,0.325,0
150,B,431.96,0.268,1
151,B,273.77,0.393,1
152,D,177.9,0.368,0
153,C,266.99,0.189,0
154,C,167.75,0.091,0
155,D,34.97,0.261,0
156,A,69.76,0.347,0
157,C,378.92,0.368,1
158,C,205.14,0.07,0
159,D,327.67,0.083,1
160,C,436.98,0.028,1
161,C,279.6,0.359,1
162,D,49.9,0.304,0
163,D,397.45,0.303,1
164,B,302.62,0.192,1
165,A,358.54,0.482,1
166,B,19.99,0.348,0
167,D,490.31,0.464,1
168,C,393.23,0.054,1
169,C,116.28,0.207,0
170,C,281.89,0.119,1
171,C,149.9,0.454,0
172,C,181.43,0.246,0
173,B,442.34,0.359,1
174,A,189.93,0.444,0
