Date,Region,ProductCategory,Price,UnitsSold,MarketingSpend,CustomerSatisfaction,Sales,ProfitMargin,Profit
2023-01-02,South America,Accessories,30.91,161,2875.0,4.13,5218.55,0.44,2296.16
2023-01-02,Europe,Office Supplies,22.34,175,3453.9,4.63,4104.93,0.07,287.35
2023-01-02,South America,Electronics,191.68,49,8442.12,4.53,9732.33,0.14,1362.53
2023-01-05,North America,Electronics,169.02,40,11747.54,4.04,6716.54,0.18,1208.98
2023-01-05,Asia,Office Supplies,25.24,165,2444.51,4.54,4152.52,0.13,539.83
2023-01-09,Europe,Home Decor,91.62,34,4289.43,4.15,3257.27,0.17,553.74
2023-01-09,Europe,Furniture,325.66,14,6751.66,4.2,4801.37,0.25,1200.34
2023-01-12,South America,Electronics,203.42,54,8887.7,3.85,10562.25,0.17,1795.58
2023-01-14,Europe,Home Decor,96.39,33,4635.4,4.38,3179.99,0.18,572.4
2023-01-15,Africa,Clothing,52.09,103,5829.38,3.91,5283.96,0.33,1743.71
2023-01-15,Europe,Clothing,49.37,90,6268.62,4.05,4928.21,0.33,1626.31
2023-01-16,South America,Clothing,52.09,76,4408.99,4.36,4141.66,0.33,1366.75
2023-01-17,Europe,Home Decor,102.77,44,3593.82,3.93,4820.34,0.16,771.25
2023-01-18,Asia,Electronics,190.22,38,7715.32,4.81,6890.18,0.12,826.82
2023-01-19,Europe,Clothing,50.95,91,2894.89,4.16,4683.97,0.3,1405.19
2023-01-20,Europe,Office Supplies,25.21,173,2493.68,4.44,4811.43,0.09,433.03
2023-01-21,North America,Electronics,150.63,46,11179.05,4.23,7531.07,0.15,1129.66
2023-01-21,Asia,Office Supplies,21.94,172,2740.3,4.55,3921.96,0.12,470.64
2023-01-22,South America,Accessories,28.5,140,3827.34,4.82,3979.9,0.4,1591.96
2023-01-22,North America,Accessories,27.57,137,3084.93,4.3,4017.75,0.31,1245.5
2023-01-23,Europe,Office Supplies,24.8,182,2400.17,4.23,4679.94,0.09,421.19
2023-01-25,Africa,Home Decor,96.61,41,4117.88,4.65,4253.24,0.17,723.05
2023-01-27,Europe,Electronics,250.87,39,9176.29,3.57,10126.55,0.15,1518.98
2023-01-28,South America,Furniture,371.19,22,8721.18,4.23,8329.04,0.21,1749.1
2023-01-28,North America,Clothing,56.03,85,5568.71,4.42,5320.23,0.34,1808.88
2023-01-29,Europe,Home Decor,101.5,37,3810.85,4.13,3480.17,0.2,696.03
2023-02-02,South America,Home Decor,98.73,45,3449.13,3.91,4495.29,0.16,719.25
2023-02-02,Africa,Electronics,196.04,52,8903.77,3.76,10735.17,0.13,1395.57
2023-02-04,Africa,Clothing,51.76,87,4718.93,4.25,4421.4,0.29,1282.21
2023-02-04,North America,Clothing,54.28,91,4542.84,4.1,5019.49,0.35,1756.82
2023-02-05,South America,Furniture,345.8,24,8503.28,3.88,7899.3,0.17,1342.88
2023-02-05,South America,Electronics,184.42,39,11507.25,3.75,7880.91,0.14,1103.33
2023-02-06,South America,Home Decor,101.63,42,3423.79,3.74,4393.05,0.21,922.54
2023-02-06,North America,Clothing,49.48,73,4359.27,3.94,3594.93,0.36,1294.17
